author_id,author_name,work_id,page_title,creation_date,raw_character_count,original_cleaned_character_count,cleaned_character_count,han_character_count,removed_character_count,metadata_removed_character_count,metadata_removed_block_count,paragraph_count,sentence_count,segmented_token_count,short_interaction_count,multi_interaction_count,full_pinyin_success_count,initial_pinyin_success_count,alignment_failure_count,original_script_distribution,script_distribution,opencc_changed_character_count,boundary_sequence_count,punctuation_boundary_count,latin_or_digit_boundary_count,whitespace_boundary_count,other_symbol_boundary_count,original_cleaned_sha256,simplified_cleaned_sha256
da-author-agent-phage-bc08199e,Agent Phage,da-work-1002239704,迟来的光芒随风而去,2020-03-21,2040,1827,1827,1562,213,204,1,11,59,979,978,835,1813,1813,0,simplified,simplified,0,144,133,18,22,0,9661195c4445aaeaef26b9c84eeadbf5fa59250def7e4e9c7e449ef3989278f3,9661195c4445aaeaef26b9c84eeadbf5fa59250def7e4e9c7e449ef3989278f3
da-author-agent-phage-bc08199e,Agent Phage,da-work-1002340709,Carroll 122 号：虚空之名,2020-03-26,2728,2510,2510,2161,218,198,1,12,65,1259,1258,1073,2331,2331,0,simplified,simplified,0,187,173,19,41,0,05213e66077a0eb7ebf0589060b923db08ea64a6abd5abd75c1670c7b827d966,05213e66077a0eb7ebf0589060b923db08ea64a6abd5abd75c1670c7b827d966
da-author-agent-phage-bc08199e,Agent Phage,da-work-1002342616,格鲁乌-P 个案卷宗“科什-Kosch”,2020-03-26,4130,3737,3737,2849,393,0,0,54,84,1608,1607,1279,2886,2886,0,mixed,simplified,1,328,303,56,100,1,8aeb821e42a7b82d16fb5bb3ae458228fc69114a84ee6ba38f1c840261fb6975,c2497bbff14939bd08c006583b9a805385ff91ab646719104df22061c66e85c5
da-author-etinjat-1c584251,Etinjat,da-work-1015498089,歌行：五次覔狂喜,2020-03-31,231,229,229,199,2,0,0,2,1,112,111,82,193,193,0,simplified,simplified,0,29,14,0,15,0,cfb523b849392f9f49dc6ead76974e874db16c32e0383b8c7a762411d675dc58,cfb523b849392f9f49dc6ead76974e874db16c32e0383b8c7a762411d675dc58
da-author-mscarlet-78b5e8fb,MScarlet,da-work-1020114949,專訪重裝海豹人,2020-04-01,3393,2809,2809,2195,584,575,1,11,71,1359,1358,1101,2459,2459,0,mixed,simplified,588,257,219,40,86,0,6168fd2c88138d63f423b02aaadfc7457c04baf027e06f2b3ccf62b1961c36cf,5057507ae0b8804a06ef7de0e26e0191a5c73bdb5c919fbe1e2e018339beb6e2
da-author-re-spectators-464e4708,Re_spectators,da-work-1022073917,取代反应,2020-04-02,8425,7350,7350,4585,1075,1008,1,99,247,2543,2542,1987,4529,4529,0,mixed,simplified,12,555,520,167,131,43,89b9bf5771b9f8e804e464c38c27a68eea44d971dbec5bdff66d6687bd7f85b1,7b9183f9d85bf3184232639fcb0f59b675c380087485b27eae38925e757536a0
da-author-re-spectators-464e4708,Re_spectators,da-work-1022095056,Re_spectators的提案,2020-04-02,1049,1050,1050,796,0,0,0,2,26,464,463,390,853,853,0,simplified,simplified,0,74,67,18,11,2,897e646d09705c37375851b09c818ebd6b12ea9097fda8a6f6247683b38a2241,897e646d09705c37375851b09c818ebd6b12ea9097fda8a6f6247683b38a2241
da-author-breaddddd-d9923f3d,breaddddd,da-work-1024189828,梦境搬家,2020-04-04,6229,6221,6221,4033,8,0,0,14,195,2383,2382,1834,4216,4216,0,simplified,simplified,0,549,535,166,116,1,2ee8eaa2f7d925b84f953b9d2583a09eaf0b6f3e7de7163855ee8a749be0d29d,2ee8eaa2f7d925b84f953b9d2583a09eaf0b6f3e7de7163855ee8a749be0d29d
da-author-etinjat-1c584251,Etinjat,da-work-1024229829,愚者史诗 —— 缢王深殿里,2020-04-07,3094,3012,3012,2564,82,0,0,25,7,1503,1499,1099,2598,2598,8,mixed,mixed,10,397,204,0,197,3,0195f03726e46dbc0ab28a2e70ecb2869edb05a54affc42ff57a6d8376976f13,89f2d50e1c2f7d79b03e9f5d8219894beb9ede493ccfa838c60c403befd01758
da-author-breaddddd-d9923f3d,breaddddd,da-work-1024284927,小问号的朋友,2020-04-11,1318,1267,1267,1026,51,0,0,21,69,594,593,476,1069,1069,0,simplified,simplified,0,117,116,6,27,0,c397d17bc9c7278392ee131d972766b7a93d0551c423d9004b529f5c8032e7b2,c397d17bc9c7278392ee131d972766b7a93d0551c423d9004b529f5c8032e7b2
da-author-re-spectators-464e4708,Re_spectators,da-work-1026154822,一花一世界,2020-04-25,9195,9094,9094,6419,101,0,0,119,272,3739,3738,3056,6794,6794,0,mixed,simplified,12,682,628,200,162,18,e1157ce4a5739c5ae789079c3f12af74dbe98f0aadc9f59bcaa25f9328e6a370,9fc72168c7c6fb78bb08a79bc098793cff08efb9b69967bb25c42c26edf6bc47
da-author-re-spectators-464e4708,Re_spectators,da-work-1026154861,SCP-CN-1827,2020-04-25,815,776,776,618,39,0,0,26,32,384,383,318,701,701,0,simplified,simplified,0,66,65,1,26,0,da974da1bf9061377c9e03fdce7096426447a475acb751036e7fd14503d2c8c2,da974da1bf9061377c9e03fdce7096426447a475acb751036e7fd14503d2c8c2
da-author-re-spectators-464e4708,Re_spectators,da-work-1035036156,青鸟,2020-05-03,5692,5055,5055,2328,637,0,0,26,112,1329,1328,1011,2339,2339,0,mixed,simplified,12,318,290,64,69,1,9ece874ebce985f1fffa3073c5dda3ae6192c4e57c06b9db4e22c4e34feb8601,a46b8b7623124f26080274cced20df7a9f3b6184e468931553a0e9fbc743663a
da-author-breaddddd-d9923f3d,breaddddd,da-work-1076522189,巧克力烤面包,2020-05-24,2013,2007,2007,1545,6,0,0,8,38,866,865,701,1566,1566,0,simplified,simplified,0,165,140,23,29,19,52de737b9ca6b73d8e72e20708d537aeab30febca51750370d43a8e04f307c38,52de737b9ca6b73d8e72e20708d537aeab30febca51750370d43a8e04f307c38
