author_id,author_name,work_id,page_title,creation_date,raw_character_count,cleaned_character_count,han_character_count,removed_character_count,paragraph_count,sentence_count,segmented_token_count,short_interaction_count,multi_interaction_count,full_pinyin_success_count,initial_pinyin_success_count,alignment_failure_count,script_distribution
da-author-agent-phage-bc08199e,Agent Phage,da-work-855597840,第十二号迷宫的捐赠品,2019-08-12,2796,2778,2520,18,8,76,1663,1421,1232,2653,2653,0,simplified
da-author-agent-phage-bc08199e,Agent Phage,da-work-857753354,不飞的纸飞机,2019-08-14,1726,1588,1202,138,5,42,920,681,566,1247,1247,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-858222222,项目计划书 2024-336至339：“所以你想创作一份有关动物保护的作品”,2019-08-15,820,782,675,38,8,24,489,392,329,721,721,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-858288847,无人更唱风中曲,2019-08-17,1324,1323,1149,1,7,5,857,691,559,1250,1250,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-858377558,外典：蛇之箴言,2019-08-20,378,379,318,0,1,3,255,193,143,336,336,0,simplified
da-author-mscarlet-78b5e8fb,MScarlet,da-work-858424800,那熔蝕根基的熔岩之地,2019-08-22,8979,8809,6942,170,22,232,5520,4309,3583,7892,7892,0,mixed
da-author-etinjat-1c584251,Etinjat,da-work-858456111,逸商书 · 金誓 · 注疏,2019-08-22,7110,7079,5915,31,14,271,4709,3549,2622,6171,6171,10,mixed
da-author-breaddddd-d9923f3d,breaddddd,da-work-896429708,文语谈 第六期：喵肉,2019-09-07,9961,9701,7920,260,227,213,6356,4886,4102,8988,8988,0,mixed
da-author-etinjat-1c584251,Etinjat,da-work-901564094,诗钞——悠悠霜玉轮,2019-09-13,23,24,20,0,1,1,13,8,4,12,12,0,traditional
da-author-qblevi-494cde49,QBLevi,da-work-909936628,无际曲象,2019-09-23,1883,1881,1251,2,8,87,1109,719,537,1256,1256,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-912229461,诗钞——宴天行,2019-09-27,3474,3408,2346,66,95,109,2375,1384,950,2334,2334,0,mixed
da-author-etinjat-1c584251,Etinjat,da-work-912942107,诗钞——破碎之心,2019-09-28,730,660,393,70,45,16,508,242,118,360,360,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-914167985,幽灵过山车,2019-09-30,476,477,339,0,1,12,262,184,148,332,332,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-919140211,诗钞——拟幻想遗物其三 并序附注,2019-10-10,1749,1740,1251,9,12,68,1179,729,482,1211,1211,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-919160150,绘星城购物指南,2019-10-12,28414,27088,17511,1326,559,749,16363,9888,7607,17495,17495,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-924639194,跳跃字符,2019-10-30,7163,7134,4033,29,32,193,4403,2325,1718,4043,4043,0,mixed
da-author-breaddddd-d9923f3d,breaddddd,da-work-941042572,周末的世界,2019-12-01,5254,5252,4113,2,25,190,3485,2532,1988,4520,4520,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-942606126,雨中漫步,2019-12-02,973,973,746,0,4,24,584,436,365,801,801,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-943046033,长歌行——逐鹿何遑遑,2019-12-02,1473,1249,320,224,7,11,582,182,118,300,300,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-963388335,岿阳谶——鹿尘子伏龙还丹诀,2019-12-13,255,256,224,0,1,1,153,120,88,208,208,0,mixed
da-author-agent-phage-bc08199e,Agent Phage,da-work-985862865,SC-27/136-28/800,2019-12-21,3124,3111,2337,13,5,62,1770,1288,1015,2303,2303,0,simplified
da-author-agent-phage-bc08199e,Agent Phage,da-work-985862979,青竹计划，1936年,2019-12-21,2346,2208,1975,138,10,65,1357,1141,973,2114,2114,0,simplified
da-author-agent-phage-bc08199e,Agent Phage,da-work-985863073,安德森机器人安装指南：您最新的红腿小隼系列生命强化单元！,2019-12-21,3613,3391,3057,222,30,92,2093,1785,1570,3355,3355,0,simplified
da-author-agent-phage-bc08199e,Agent Phage,da-work-985863162,翻开重生之夜篇章,2019-12-21,2308,2149,1835,159,19,79,1383,1112,934,2046,2046,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-985912542,小学作文四则,2019-12-24,1930,1918,1434,12,8,116,1337,912,644,1556,1556,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-986029089,旅行相机,2020-01-02,1625,1611,1187,14,15,37,994,685,541,1226,1226,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-986220250,华翼科技 异号第3579项协议,2020-01-18,6414,5915,3595,499,65,106,3333,1975,1542,3517,3517,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-986232376,切勿多疑，切勿深思，切勿相击,2020-01-19,2209,2203,1633,6,4,38,1336,928,767,1695,1695,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-986255831,夜中不能寐,2020-01-20,1974,1971,1754,3,2,61,1283,1066,877,1943,1943,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-986308111,岿阳诀 —— 碧游春,2020-01-24,287,288,250,0,1,2,178,139,101,240,240,0,simplified
da-author-agent-phage-bc08199e,Agent Phage,da-work-986357745,伦理委员会怪谈志：乌云集结,2020-01-28,5301,5302,4058,0,29,194,3197,2378,1945,4323,4323,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-986478250,文语谈 第八期：素素,2020-01-30,5880,5704,4427,176,160,94,3727,2793,2277,5070,5070,0,mixed
da-author-mscarlet-78b5e8fb,MScarlet,da-work-986500928,黎斗組長的得獎感言,2020-01-30,7198,7000,5636,198,37,192,4561,3461,2843,6304,6304,0,mixed
da-author-etinjat-1c584251,Etinjat,da-work-986536790,层叠漾世歌（其一）：酩酊街上初逢酬赠忘忧人,2020-02-01,533,534,457,0,4,2,334,256,184,440,440,0,mixed
da-author-etinjat-1c584251,Etinjat,da-work-986560936,星汉灿烂,2020-02-03,789,785,520,4,3,14,481,296,233,529,529,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-986572509,讹谬之相,2020-02-04,1255,1254,892,1,3,15,752,507,419,926,926,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-987072542,应当多加关心基金会员工的精神状态，也许吧,2020-02-13,445,446,340,0,2,9,266,189,155,344,344,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-987087585,关于欲肉教血脉和合论神话起源文献记录,2020-02-14,1262,1258,864,4,5,56,780,497,314,811,811,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-987529071,那梨石音尺,2020-02-17,5783,5767,4830,16,17,153,3775,2892,2384,5276,5276,0,simplified
da-author-agent-phage-bc08199e,Agent Phage,da-work-988356444,无字碑,2020-02-18,1266,1247,973,19,4,29,726,545,453,998,998,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-993066801,笔记：没有人了解管理员的秘密,2020-02-20,765,756,599,9,2,21,481,332,250,582,582,0,simplified
