author,work_id,condition,n,top1,top3,mrr_at_10,missing_at_10,mean_rank_given_top10
MScarlet,da-work-986500928,full_short,125,0.4,0.52,0.4851873015873016,0.288,2.853932584269663
MScarlet,da-work-986500928,initial_multi3,125,0.0,0.0,0.0,1.0,
MScarlet,da-work-986500928,initial_short,125,0.168,0.28,0.22333333333333336,0.672,2.2439024390243905
MScarlet,da-work-998805909,full_multi3,125,0.064,0.128,0.10926349206349206,0.784,3.4074074074074074
MScarlet,da-work-998805909,full_short,125,0.424,0.648,0.5430253968253967,0.216,2.3469387755102042
MScarlet,da-work-998805909,initial_multi3,125,0.0,0.008,0.004,0.992,2.0
MScarlet,da-work-998805909,initial_short,125,0.184,0.248,0.2279968253968254,0.632,3.0869565217391304
QBLevi,da-work-103791839,full_multi3,144,0.5625,0.6875,0.6347084435626102,0.2222222222222222,1.7767857142857142
QBLevi,da-work-103791839,full_short,144,0.8472222222222222,0.9444444444444444,0.8982253086419753,0.027777777777777776,1.2642857142857142
QBLevi,da-work-103791839,initial_multi3,144,0.18055555555555555,0.2569444444444444,0.21728395061728395,0.7083333333333334,2.0952380952380953
QBLevi,da-work-103791839,initial_short,144,0.4513888888888889,0.6041666666666666,0.5435074955908289,0.22916666666666666,2.4864864864864864
QBLevi,da-work-107329691,full_multi3,145,0.3724137931034483,0.47586206896551725,0.43535030103995626,0.4068965517241379,2.313953488372093
QBLevi,da-work-107329691,full_short,145,0.8068965517241379,0.8827586206896552,0.8502955665024631,0.06896551724137931,1.3555555555555556
QBLevi,da-work-107329691,initial_multi3,145,0.04827586206896552,0.06206896551724138,0.06103448275862069,0.896551724137931,3.466666666666667
QBLevi,da-work-107329691,initial_short,145,0.2827586206896552,0.47586206896551725,0.4015024630541872,0.32413793103448274,2.857142857142857
QBLevi,da-work-107823928,full_multi3,144,0.5208333333333334,0.6458333333333334,0.5916639109347442,0.2777777777777778,1.7788461538461537
QBLevi,da-work-107823928,full_short,144,0.8055555555555556,0.9375,0.8736111111111111,0.034722222222222224,1.2949640287769784
QBLevi,da-work-107823928,initial_multi3,144,0.08333333333333333,0.1111111111111111,0.09972993827160494,0.8611111111111112,2.2
QBLevi,da-work-107823928,initial_short,144,0.3333333333333333,0.4930555555555556,0.4333581349206349,0.3402777777777778,2.526315789473684
QBLevi,da-work-440694002,full_multi3,134,0.5970149253731343,0.7089552238805971,0.6646943852167733,0.21641791044776118,1.6095238095238096
QBLevi,da-work-440694002,full_short,134,0.8656716417910447,0.9776119402985075,0.9197761194029851,0.014925373134328358,1.1590909090909092
QBLevi,da-work-440694002,initial_multi3,134,0.17164179104477612,0.2462686567164179,0.21608623548922057,0.7014925373134329,2.175
QBLevi,da-work-440694002,initial_short,134,0.48507462686567165,0.6417910447761194,0.5867330016583748,0.16417910447761194,2.5625
QBLevi,da-work-486740375,full_multi3,144,0.4166666666666667,0.5902777777777778,0.5145833333333333,0.2986111111111111,2.108910891089109
QBLevi,da-work-486740375,full_short,144,0.7986111111111112,0.9375,0.8695216049382716,0.027777777777777776,1.3714285714285714
QBLevi,da-work-486740375,initial_multi3,144,0.05555555555555555,0.0625,0.06701388888888889,0.8819444444444444,3.8823529411764706
QBLevi,da-work-486740375,initial_short,144,0.3055555555555556,0.5,0.4292217813051147,0.3125,2.6464646464646466
QBLevi,da-work-854836245,full_multi3,144,0.3958333333333333,0.5833333333333334,0.4936425264550265,0.3472222222222222,1.872340425531915
QBLevi,da-work-854836245,full_short,144,0.8541666666666666,0.9375,0.8966049382716049,0.041666666666666664,1.2318840579710144
QBLevi,da-work-854836245,initial_multi3,144,0.0625,0.13194444444444445,0.09583333333333334,0.8402777777777778,2.5217391304347827
QBLevi,da-work-854836245,initial_short,144,0.3680555555555556,0.5138888888888888,0.44723048941798943,0.3680555555555556,2.2747252747252746
QBLevi,da-work-909936628,full_multi3,145,0.4413793103448276,0.6068965517241379,0.5373070607553366,0.2896551724137931,1.912621359223301
QBLevi,da-work-909936628,full_short,145,0.7379310344827587,0.903448275862069,0.8213218390804597,0.04827586206896552,1.4855072463768115
QBLevi,da-work-909936628,initial_multi3,145,0.09655172413793103,0.13793103448275862,0.12357963875205254,0.8068965517241379,2.7857142857142856
QBLevi,da-work-909936628,initial_short,145,0.3586206896551724,0.5172413793103449,0.45368089764641495,0.31724137931034485,2.6666666666666665
Re_spectators,da-work-1310969119,full_multi3,333,0.44744744744744747,0.6336336336336337,0.5491586824920158,0.2702702702702703,2.0041152263374484
Re_spectators,da-work-1310969119,full_short,333,0.8378378378378378,0.93993993993994,0.8910029076695744,0.03303303303303303,1.2608695652173914
Re_spectators,da-work-1310969119,initial_multi3,333,0.13513513513513514,0.17417417417417416,0.1610932360932361,0.7777777777777778,2.3783783783783785
Re_spectators,da-work-1310969119,initial_short,333,0.4894894894894895,0.6636636636636637,0.5887780637780637,0.2012012012012012,2.1578947368421053
Re_spectators,da-work-1312042098,full_multi3,333,0.4264264264264264,0.6006006006006006,0.5175330091996758,0.3213213213213213,1.9026548672566372
Re_spectators,da-work-1312042098,full_short,333,0.7897897897897898,0.918918918918919,0.8556306306306307,0.05405405405405406,1.3047619047619048
Re_spectators,da-work-1312042098,initial_multi3,333,0.08108108108108109,0.13513513513513514,0.12067424567424567,0.7897897897897898,2.9714285714285715
Re_spectators,da-work-1312042098,initial_short,333,0.3783783783783784,0.5555555555555556,0.4888018971352305,0.2822822822822823,2.3723849372384938
Re_spectators,da-work-1312342920,full_multi3,334,0.49101796407185627,0.7035928143712575,0.6041143902670848,0.218562874251497,1.839080459770115
Re_spectators,da-work-1312342920,full_short,334,0.8143712574850299,0.9431137724550899,0.8811745556506035,0.020958083832335328,1.327217125382263
Re_spectators,da-work-1312342920,initial_multi3,334,0.10778443113772455,0.17365269461077845,0.14635134492918925,0.7694610778443114,2.8181818181818183
Re_spectators,da-work-1312342920,initial_short,334,0.39820359281437123,0.5748502994011976,0.5052442733580458,0.27844311377245506,2.327800829875519
breaddddd,da-work-1308482173,full_multi3,200,0.45,0.665,0.5676031746031746,0.235,2.0130718954248366
breaddddd,da-work-1308482173,full_short,200,0.825,0.93,0.8823928571428571,0.005,1.4673366834170853
breaddddd,da-work-1308482173,initial_multi3,200,0.085,0.14,0.12244444444444444,0.795,2.926829268292683
breaddddd,da-work-1308482173,initial_short,200,0.415,0.55,0.5020396825396826,0.315,2.2262773722627736
breaddddd,da-work-1311008924,full_multi3,200,0.41,0.58,0.5089404761904762,0.305,2.115107913669065
breaddddd,da-work-1311008924,full_short,200,0.795,0.915,0.8551170634920635,0.045,1.3979057591623036
breaddddd,da-work-1311008924,initial_multi3,200,0.115,0.15,0.14054761904761906,0.795,2.6097560975609757
breaddddd,da-work-1311008924,initial_short,200,0.355,0.525,0.45821825396825394,0.31,2.536231884057971
breaddddd,da-work-1311013939,full_multi3,200,0.375,0.56,0.4811289682539682,0.305,2.302158273381295
breaddddd,da-work-1311013939,full_short,200,0.78,0.92,0.8562361111111112,0.025,1.4666666666666666
