author,rank,target,author_count,other_authors_count,author_rate,other_authors_rate,log2_rate_ratio_smoothed
QBLevi,30,什么时候,5,5,0.00011904761904761905,2.9761904761904762e-05,1.9999742379719183
QBLevi,31,但我们,5,5,0.00011904761904761905,2.9761904761904762e-05,1.9999742379719183
QBLevi,32,好了,5,5,0.00011904761904761905,2.9761904761904762e-05,1.9999742379719183
QBLevi,33,看来,5,5,0.00011904761904761905,2.9761904761904762e-05,1.9999742379719183
QBLevi,34,技术,6,8,0.00014285714285714287,4.761904761904762e-05,1.6374041585872101
QBLevi,35,自由,6,8,0.00014285714285714287,4.761904761904762e-05,1.6374041585872101
QBLevi,36,语言,5,7,0.00011904761904761905,4.1666666666666665e-05,1.5849367386930748
QBLevi,37,月,17,23,0.0004047619047619048,0.0001369047619047619,1.5849367386930746
QBLevi,38,但在,5,8,0.00011904761904761905,4.761904761904762e-05,1.4150117372507622
QBLevi,39,地上,5,9,0.00011904761904761905,5.357142857142857e-05,1.2630086438057124
QBLevi,40,系统,5,9,0.00011904761904761905,5.357142857142857e-05,1.2630086438057124
QBLevi,41,迅速,5,9,0.00011904761904761905,5.357142857142857e-05,1.2630086438057124
QBLevi,42,便,6,11,0.00014285714285714287,6.547619047619048e-05,1.2223666593083664
QBLevi,43,日,11,20,0.0002619047619047619,0.00011904761904761905,1.1926193159143146
QBLevi,44,起来,8,15,0.00019047619047619048,8.928571428571429e-05,1.1698992394142307
QBLevi,45,你是,5,10,0.00011904761904761905,5.9523809523809524e-05,1.1255051200557773
QBLevi,46,发生了,5,10,0.00011904761904761905,5.9523809523809524e-05,1.1255051200557773
QBLevi,47,的声音,5,10,0.00011904761904761905,5.9523809523809524e-05,1.1255051200557773
QBLevi,48,出现在,6,12,0.00014285714285714287,7.142857142857143e-05,1.1068894418884303
QBLevi,49,你们,25,50,0.0005952380952380953,0.00029761904761904765,1.0279886141415149
QBLevi,50,计划,7,15,0.00016666666666666666,8.928571428571429e-05,0.9999742379719184
QBLevi,51,了一个,6,13,0.00014285714285714287,7.738095238095238e-05,0.9999742379719184
QBLevi,52,研究员,6,13,0.00014285714285714287,7.738095238095238e-05,0.9999742379719184
QBLevi,53,了什么,5,11,0.00011904761904761905,6.547619047619048e-05,0.9999742379719183
QBLevi,54,删除,5,11,0.00011904761904761905,6.547619047619048e-05,0.9999742379719183
QBLevi,55,那是,5,11,0.00011904761904761905,6.547619047619048e-05,0.9999742379719183
QBLevi,56,有些,6,14,0.00014285714285714287,8.333333333333333e-05,0.9004385644210039
QBLevi,57,目标,5,12,0.00011904761904761905,7.142857142857143e-05,0.8844970205519822
QBLevi,58,虽然,11,26,0.0002619047619047619,0.00015476190476190475,0.830049236529606
QBLevi,59,带,6,15,0.00014285714285714287,8.928571428571429e-05,0.8073291600295226
QBLevi,60,本,6,15,0.00014285714285714287,8.928571428571429e-05,0.8073291600295226
QBLevi,61,自,5,13,0.00011904761904761905,7.738095238095238e-05,0.7775818166354704
QBLevi,62,许多,5,13,0.00011904761904761905,7.738095238095238e-05,0.7775818166354704
QBLevi,63,整个,7,18,0.00016666666666666666,0.00010714285714285714,0.7520467245283328
QBLevi,64,分部,6,16,0.00014285714285714287,9.523809523809524e-05,0.7198663187791832
QBLevi,65,那些,6,16,0.00014285714285714287,9.523809523809524e-05,0.7198663187791832
QBLevi,66,站点,8,21,0.00019047619047619048,0.000125,0.7104676207769335
QBLevi,67,特工,10,26,0.0002380952380952381,0.00015476190476190475,0.7045183544457472
QBLevi,68,我们的,12,32,0.00028571428571428574,0.00019047619047619048,0.6560198367545571
QBLevi,69,这里,10,28,0.0002380952380952381,0.00016666666666666666,0.6014248614816434
QBLevi,70,要,16,44,0.00038095238095238096,0.0002619047619047619,0.5955839828925831
QBLevi,71,她,19,54,0.00045238095238095237,0.0003214285714285714,0.5405426193346211
QBLevi,72,已,15,44,0.00035714285714285714,0.0002619047619047619,0.5081211416422435
QBLevi,73,点,5,16,0.00011904761904761905,9.523809523809524e-05,0.49747389744273524
QBLevi,74,不知道,6,19,0.00014285714285714287,0.00011309523809523809,0.4854010651421603
